file_paths,labels
../data/raw/Indian/N\1033.jpg,N
../data/raw/Indian/J\265.jpg,J
../data/raw/Indian/6\721.jpg,6
../data/raw/Indian/C\884.jpg,C
../data/raw/Indian/2\534.jpg,2
../data/raw/Indian/V\135.jpg,V
../data/raw/Indian/W\772.jpg,W
../data/raw/Indian/7\333.jpg,7
../data/raw/Indian/B\80.jpg,B
../data/raw/Indian/X\801.jpg,X
../data/raw/Indian/K\1165.jpg,K
../data/raw/Indian/I\200.jpg,I
../data/raw/Indian/P\927.jpg,P
../data/raw/Indian/4\605.jpg,4
../data/raw/Indian/S\936.jpg,S
../data/raw/Indian/F\274.jpg,F
../data/raw/Indian/B\969.jpg,B
../data/raw/Indian/V\272.jpg,V
../data/raw/Indian/O\134 copy.jpg,O
../data/raw/Indian/O\216 copy.jpg,O
../data/raw/Indian/A\478.jpg,A
../data/raw/Indian/F\515.jpg,F
../data/raw/Indian/M\471.jpg,M
../data/raw/Indian/N\824.jpg,N
../data/raw/Indian/1\597.jpg,1
../data/raw/Indian/X\738.jpg,X
../data/raw/Indian/O\763.jpg,O
../data/raw/Indian/7\15.jpg,7
../data/raw/Indian/C\385.jpg,C
../data/raw/Indian/E\428.jpg,E
../data/raw/Indian/H\381.jpg,H
../data/raw/Indian/Z\165.jpg,Z
../data/raw/Indian/6\1019.jpg,6
../data/raw/Indian/M\535.jpg,M
../data/raw/Indian/D\1081.jpg,D
../data/raw/Indian/O\848.jpg,O
../data/raw/Indian/P\15.jpg,P
../data/raw/Indian/Z\135.jpg,Z
../data/raw/Indian/R\804.jpg,R
../data/raw/Indian/M\646.jpg,M
../data/raw/Indian/T\22.jpg,T
../data/raw/Indian/L\809.jpg,L
../data/raw/Indian/A\114.jpg,A
../data/raw/Indian/L\892.jpg,L
../data/raw/Indian/T\1184.jpg,T
../data/raw/Indian/K\566.jpg,K
../data/raw/Indian/L\418.jpg,L
../data/raw/Indian/U\944.jpg,U
../data/raw/Indian/5\204.jpg,5
../data/raw/Indian/P\286.jpg,P
../data/raw/Indian/1\812.jpg,1
../data/raw/Indian/G\770.jpg,G
../data/raw/Indian/7\1154.jpg,7
../data/raw/Indian/A\311.jpg,A
../data/raw/Indian/1\0.jpg,1
../data/raw/Indian/C\223.jpg,C
../data/raw/Indian/O\50.jpg,O
../data/raw/Indian/W\348.jpg,W
../data/raw/Indian/R\876.jpg,R
../data/raw/Indian/U\1196.jpg,U
../data/raw/Indian/R\425.jpg,R
../data/raw/Indian/4\939.jpg,4
../data/raw/Indian/J\998.jpg,J
../data/raw/Indian/I\940.jpg,I
../data/raw/Indian/I\826.jpg,I
../data/raw/Indian/I\700.jpg,I
../data/raw/Indian/E\849.jpg,E
../data/raw/Indian/X\609.jpg,X
../data/raw/Indian/1\1035.jpg,1
../data/raw/Indian/8\408.jpg,8
../data/raw/Indian/D\518.jpg,D
../data/raw/Indian/L\747.jpg,L
../data/raw/Indian/J\1042.jpg,J
../data/raw/Indian/R\194.jpg,R
../data/raw/Indian/K\1149.jpg,K
../data/raw/Indian/7\281.jpg,7
../data/raw/Indian/O\123 copy.jpg,O
../data/raw/Indian/S\369.jpg,S
../data/raw/Indian/X\241.jpg,X
../data/raw/Indian/5\556.jpg,5
../data/raw/Indian/A\551.jpg,A
../data/raw/Indian/B\397.jpg,B
../data/raw/Indian/C\280.jpg,C
../data/raw/Indian/V\1115.jpg,V
../data/raw/Indian/A\901.jpg,A
../data/raw/Indian/R\679.jpg,R
../data/raw/Indian/O\344.jpg,O
../data/raw/Indian/9\615.jpg,9
../data/raw/Indian/E\819.jpg,E
../data/raw/Indian/H\130.jpg,H
../data/raw/Indian/3\825.jpg,3
../data/raw/Indian/7\172.jpg,7
../data/raw/Indian/X\725.jpg,X
../data/raw/Indian/2\561.jpg,2
../data/raw/Indian/H\1053.jpg,H
../data/raw/Indian/I\38.jpg,I
../data/raw/Indian/X\59.jpg,X
../data/raw/Indian/C\667.jpg,C
../data/raw/Indian/P\1084.jpg,P
../data/raw/Indian/8\993.jpg,8
../data/raw/Indian/2\195.jpg,2
../data/raw/Indian/B\151.jpg,B
../data/raw/Indian/P\816.jpg,P
../data/raw/Indian/N\875.jpg,N
../data/raw/Indian/9\40.jpg,9
../data/raw/Indian/5\538.jpg,5
../data/raw/Indian/5\1194.jpg,5
../data/raw/Indian/V\510.jpg,V
../data/raw/Indian/K\563.jpg,K
../data/raw/Indian/P\97.jpg,P
../data/raw/Indian/Q\271.jpg,Q
../data/raw/Indian/C\554.jpg,C
../data/raw/Indian/D\687.jpg,D
../data/raw/Indian/3\882.jpg,3
../data/raw/Indian/P\492.jpg,P
../data/raw/Indian/I\276.jpg,I
../data/raw/Indian/T\577.jpg,T
../data/raw/Indian/M\80.jpg,M
../data/raw/Indian/V\449.jpg,V
../data/raw/Indian/4\640.jpg,4
../data/raw/Indian/Q\992.jpg,Q
../data/raw/Indian/U\880.jpg,U
../data/raw/Indian/O\984.jpg,O
../data/raw/Indian/3\769.jpg,3
../data/raw/Indian/9\882.jpg,9
../data/raw/Indian/9\541.jpg,9
../data/raw/Indian/G\76.jpg,G
../data/raw/Indian/Z\238.jpg,Z
../data/raw/Indian/B\1183.jpg,B
../data/raw/Indian/Q\226.jpg,Q
../data/raw/Indian/I\350.jpg,I
../data/raw/Indian/R\798.jpg,R
../data/raw/Indian/A\834.jpg,A
../data/raw/Indian/J\200.jpg,J
../data/raw/Indian/5\713.jpg,5
../data/raw/Indian/R\255.jpg,R
../data/raw/Indian/6\622.jpg,6
../data/raw/Indian/Y\554.jpg,Y
../data/raw/Indian/G\420.jpg,G
../data/raw/Indian/4\954.jpg,4
../data/raw/Indian/P\821.jpg,P
../data/raw/Indian/7\693.jpg,7
../data/raw/Indian/F\807.jpg,F
../data/raw/Indian/O\158.jpg,O
../data/raw/Indian/D\871.jpg,D
../data/raw/Indian/F\191.jpg,F
../data/raw/Indian/6\499.jpg,6
../data/raw/Indian/F\99.jpg,F
../data/raw/Indian/V\816.jpg,V
../data/raw/Indian/A\295.jpg,A
../data/raw/Indian/3\772.jpg,3
../data/raw/Indian/L\8.jpg,L
../data/raw/Indian/9\395.jpg,9
../data/raw/Indian/S\302.jpg,S
../data/raw/Indian/E\38.jpg,E
../data/raw/Indian/U\353.jpg,U
../data/raw/Indian/V\179.jpg,V
../data/raw/Indian/W\418.jpg,W
../data/raw/Indian/9\381.jpg,9
../data/raw/Indian/A\600.jpg,A
../data/raw/Indian/K\348.jpg,K
../data/raw/Indian/4\177.jpg,4
../data/raw/Indian/J\145.jpg,J
../data/raw/Indian/C\675.jpg,C
../data/raw/Indian/1\190.jpg,1
../data/raw/Indian/5\783.jpg,5
../data/raw/Indian/J\1134.jpg,J
../data/raw/Indian/W\920.jpg,W
../data/raw/Indian/Z\156.jpg,Z
../data/raw/Indian/1\327.jpg,1
../data/raw/Indian/Y\356.jpg,Y
../data/raw/Indian/M\2.jpg,M
../data/raw/Indian/M\297.jpg,M
../data/raw/Indian/Z\704.jpg,Z
../data/raw/Indian/Y\825.jpg,Y
../data/raw/Indian/9\1023.jpg,9
../data/raw/Indian/O\1031.jpg,O
../data/raw/Indian/J\22.jpg,J
../data/raw/Indian/F\690.jpg,F
../data/raw/Indian/8\1034.jpg,8
../data/raw/Indian/Y\207.jpg,Y
../data/raw/Indian/O\933.jpg,O
../data/raw/Indian/E\115.jpg,E
../data/raw/Indian/6\43.jpg,6
../data/raw/Indian/Y\295.jpg,Y
../data/raw/Indian/C\188 copy.jpg,C
../data/raw/Indian/Q\1184.jpg,Q
../data/raw/Indian/9\282.jpg,9
../data/raw/Indian/6\1124.jpg,6
../data/raw/Indian/C\896.jpg,C
../data/raw/Indian/T\60.jpg,T
../data/raw/Indian/D\983.jpg,D
../data/raw/Indian/F\611.jpg,F
../data/raw/Indian/Z\56.jpg,Z
../data/raw/Indian/Q\677.jpg,Q
../data/raw/Indian/G\1074.jpg,G
../data/raw/Indian/B\655.jpg,B
../data/raw/Indian/M\649.jpg,M
../data/raw/Indian/3\3.jpg,3
../data/raw/Indian/K\420.jpg,K
../data/raw/Indian/E\301.jpg,E
../data/raw/Indian/I\995.jpg,I
../data/raw/Indian/M\963.jpg,M
../data/raw/Indian/9\564.jpg,9
../data/raw/Indian/W\1080.jpg,W
../data/raw/Indian/5\816.jpg,5
../data/raw/Indian/E\282.jpg,E
../data/raw/Indian/7\8.jpg,7
../data/raw/Indian/F\691.jpg,F
../data/raw/Indian/A\1164.jpg,A
../data/raw/Indian/N\637.jpg,N
../data/raw/Indian/J\11.jpg,J
../data/raw/Indian/F\471.jpg,F
../data/raw/Indian/8\111.jpg,8
../data/raw/Indian/G\300.jpg,G
../data/raw/Indian/I\1122.jpg,I
../data/raw/Indian/B\548.jpg,B
../data/raw/Indian/E\807.jpg,E
../data/raw/Indian/L\387.jpg,L
../data/raw/Indian/D\57.jpg,D
../data/raw/Indian/J\523.jpg,J
../data/raw/Indian/N\750.jpg,N
../data/raw/Indian/2\559.jpg,2
../data/raw/Indian/A\410.jpg,A
../data/raw/Indian/P\475.jpg,P
../data/raw/Indian/N\105.jpg,N
../data/raw/Indian/9\1192.jpg,9
../data/raw/Indian/2\526.jpg,2
../data/raw/Indian/D\1030.jpg,D
../data/raw/Indian/O\393.jpg,O
../data/raw/Indian/C\365.jpg,C
../data/raw/Indian/5\6.jpg,5
../data/raw/Indian/J\1100.jpg,J
../data/raw/Indian/2\1188.jpg,2
../data/raw/Indian/1\641.jpg,1
../data/raw/Indian/L\978.jpg,L
../data/raw/Indian/G\858.jpg,G
../data/raw/Indian/1\959.jpg,1
../data/raw/Indian/I\280.jpg,I
../data/raw/Indian/P\411.jpg,P
../data/raw/Indian/5\374.jpg,5
../data/raw/Indian/8\142.jpg,8
../data/raw/Indian/Y\454.jpg,Y
../data/raw/Indian/2\484.jpg,2
../data/raw/Indian/V\438.jpg,V
../data/raw/Indian/N\98.jpg,N
../data/raw/Indian/X\38.jpg,X
../data/raw/Indian/S\169.jpg,S
../data/raw/Indian/N\821.jpg,N
../data/raw/Indian/X\251.jpg,X
../data/raw/Indian/K\1117.jpg,K
../data/raw/Indian/5\1012.jpg,5
../data/raw/Indian/S\366.jpg,S
../data/raw/Indian/Z\383.jpg,Z
../data/raw/Indian/A\780.jpg,A
../data/raw/Indian/N\191.jpg,N
../data/raw/Indian/O\929.jpg,O
../data/raw/Indian/L\724.jpg,L
../data/raw/Indian/J\831.jpg,J
../data/raw/Indian/5\541.jpg,5
../data/raw/Indian/X\919.jpg,X
../data/raw/Indian/Y\711.jpg,Y
../data/raw/Indian/H\826.jpg,H
../data/raw/Indian/F\244.jpg,F
../data/raw/Indian/H\716.jpg,H
../data/raw/Indian/M\185.jpg,M
../data/raw/Indian/U\273.jpg,U
../data/raw/Indian/A\522.jpg,A
../data/raw/Indian/2\842.jpg,2
../data/raw/Indian/7\1139.jpg,7
../data/raw/Indian/R\920.jpg,R
../data/raw/Indian/E\417.jpg,E
../data/raw/Indian/Z\197.jpg,Z
../data/raw/Indian/N\226.jpg,N
../data/raw/Indian/P\527.jpg,P
../data/raw/Indian/N\51.jpg,N
../data/raw/Indian/7\877.jpg,7
../data/raw/Indian/A\234.jpg,A
../data/raw/Indian/Q\613.jpg,Q
../data/raw/Indian/X\1113.jpg,X
../data/raw/Indian/1\707.jpg,1
../data/raw/Indian/5\239.jpg,5
../data/raw/Indian/J\66.jpg,J
../data/raw/Indian/S\1082.jpg,S
../data/raw/Indian/F\758.jpg,F
../data/raw/Indian/3\406.jpg,3
../data/raw/Indian/S\443.jpg,S
../data/raw/Indian/L\377.jpg,L
../data/raw/Indian/A\46.jpg,A
../data/raw/Indian/9\157.jpg,9
../data/raw/Indian/I\029.jpg,I
../data/raw/Indian/X\123.jpg,X
../data/raw/Indian/E\655.jpg,E
../data/raw/Indian/O\1065.jpg,O
../data/raw/Indian/P\366.jpg,P
../data/raw/Indian/6\179.jpg,6
../data/raw/Indian/1\739.jpg,1
../data/raw/Indian/T\1179.jpg,T
../data/raw/Indian/Q\492.jpg,Q
../data/raw/Indian/L\326.jpg,L
../data/raw/Indian/A\404.jpg,A
../data/raw/Indian/1\449.jpg,1
../data/raw/Indian/6\606.jpg,6
../data/raw/Indian/4\341.jpg,4
../data/raw/Indian/8\462.jpg,8
../data/raw/Indian/Y\277.jpg,Y
../data/raw/Indian/7\1010.jpg,7
../data/raw/Indian/K\72.jpg,K
../data/raw/Indian/Q\496.jpg,Q
../data/raw/Indian/2\1160.jpg,2
../data/raw/Indian/4\616.jpg,4
../data/raw/Indian/5\127.jpg,5
../data/raw/Indian/I\445.jpg,I
../data/raw/Indian/8\220.jpg,8
../data/raw/Indian/M\478.jpg,M
../data/raw/Indian/U\964.jpg,U
../data/raw/Indian/2\452.jpg,2
../data/raw/Indian/L\125.jpg,L
../data/raw/Indian/3\548.jpg,3
../data/raw/Indian/G\282.jpg,G
../data/raw/Indian/6\635.jpg,6
../data/raw/Indian/F\1068.jpg,F
../data/raw/Indian/G\882.jpg,G
../data/raw/Indian/T\597.jpg,T
../data/raw/Indian/X\947.jpg,X
../data/raw/Indian/O\717.jpg,O
../data/raw/Indian/1\387.jpg,1
../data/raw/Indian/H\737.jpg,H
../data/raw/Indian/T\807.jpg,T
../data/raw/Indian/6\1087.jpg,6
../data/raw/Indian/8\489.jpg,8
../data/raw/Indian/1\735.jpg,1
../data/raw/Indian/H\358.jpg,H
../data/raw/Indian/I\111 copy.jpg,I
../data/raw/Indian/U\1081.jpg,U
../data/raw/Indian/P\208.jpg,P
../data/raw/Indian/F\693.jpg,F
../data/raw/Indian/H\24.jpg,H
../data/raw/Indian/D\985.jpg,D
